pair,ca_native,es_native,ca_delta,es_delta
ment↔es_mente,0.5341034141603411,0.5832095264653339,0.039067020194058874,0.03129021697207224
nom_cio↔es_cion,0.7126626742225268,0.7217993370108069,-0.018525697213387825,0.0024184611804940193
agent_dor↔es_dor,0.6045713755056606,0.679066854972739,0.02601287687151768,-0.027288077525894617
dim_et↔es_dim,0.38429036609555817,0.530699096038891,0.09703396229078853,0.0349389071788678
plural↔es_plural,0.47237368872226193,0.6329306537562078,0.18156637496925998,0.09392226671925599
gender_a↔es_genero_a,0.4516505438251457,0.5194348035229724,0.1591234966162919,0.030641215410753337
