scope,key,condition,metric,mean,ci_lo,ci_hi,n
family,nom_cio_d1,delta_rules,direction_consistency,-0.009226321937045178,-0.02362154597669126,0.007237911762415461,5
model,google/gemma-2-2b,delta_rules,analogy_acc,0.024304029304029307,-0.024487637362637357,0.0678992673992674,14
model,google/gemma-4-E2B,delta_rules,analogy_acc,0.06335164835164836,0.0004587912087912127,0.12978617216117216,14
model,Qwen/Qwen2-1.5B,delta_rules,analogy_acc,0.02870879120879121,-0.017738095238095226,0.07454555860805859,14
model,Qwen/Qwen3.5-4B-Base,delta_rules,analogy_acc,0.11259157509157514,0.057255952380952414,0.17949496336996335,14
model,BSC-LT/salamandra-2b,delta_rules,analogy_acc,0.01095238095238096,-0.07000595238095236,0.09477380952380951,14
family,ment,delta_rules,analogy_acc,0.09500000000000001,-0.040000000000000015,0.22000000000000003,5
family,dim_et,delta_rules,analogy_acc,0.006666666666666665,-0.09333333333333334,0.12666666666666668,5
family,agent_dor,delta_rules,analogy_acc,-0.039999999999999994,-0.10399999999999995,0.023999999999999955,5
family,nom_cio,delta_rules,analogy_acc,-0.05833333333333333,-0.08333333333333333,-0.025000000000000022,5
family,plural,delta_rules,analogy_acc,0.11333333333333336,-0.05333333333333332,0.26000000000000006,5
family,verb_em,delta_rules,analogy_acc,0.040000000000000015,-0.11199999999999999,0.1441999999999998,5
family,gender_a,delta_rules,analogy_acc,-0.007999999999999962,-0.07199999999999995,0.05600000000000001,5
family,gem_lla,delta_rules,analogy_acc,-0.016666666666666673,-0.050000000000000024,0.0,5
family,cedilla,delta_rules,analogy_acc,0.12307692307692308,0.03076923076923077,0.26153846153846155,5
family,ny,delta_rules,analogy_acc,0.08333333333333334,0.016666666666666673,0.14999999999999997,5
family,pre_des,delta_rules,analogy_acc,0.14999999999999997,0.09999999999999995,0.19999999999999998,5
family,pre_re,delta_rules,analogy_acc,0.1,-2.2204460492503132e-17,0.18333333333333335,5
family,pre_in,delta_rules,analogy_acc,0.08333333333333336,-0.04999999999999997,0.18333333333333335,5
family,nom_cio_d1,delta_rules,analogy_acc,0.0,0.0,0.0,5
