model,lang,family,derived,fertility,boundary_recall,n_gold_boundaries
google/gemma-2-2b,ca,nom_cio,preparació,2,0.0,1
google/gemma-2-2b,ca,nom_cio,situació,2,0.0,1
google/gemma-2-2b,ca,nom_cio,continuació,2,0.0,1
google/gemma-2-2b,ca,nom_cio,actuació,2,0.0,1
google/gemma-2-2b,ca,nom_cio,aplicació,2,0.0,1
google/gemma-2-2b,ca,nom_cio,associació,2,0.0,1
google/gemma-2-2b,ca,nom_cio,celebració,3,1.0,1
google/gemma-2-2b,ca,nom_cio,circulació,3,1.0,1
google/gemma-2-2b,ca,nom_cio,declaració,2,0.0,1
google/gemma-2-2b,ca,nom_cio,generació,2,0.0,1
google/gemma-2-2b,ca,nom_cio,importació,3,1.0,1
google/gemma-2-2b,ca,nom_cio,exportació,3,1.0,1
google/gemma-2-2b,ca,nom_cio,modificació,2,0.0,1
google/gemma-2-2b,ca,nom_cio,negociació,3,0.0,1
google/gemma-2-2b,ca,nom_cio,observació,2,0.0,1
google/gemma-2-2b,ca,nom_cio,participació,2,0.0,1
google/gemma-2-2b,ca,plural,gats,2,0.0,1
google/gemma-2-2b,ca,plural,llibres,3,0.0,1
google/gemma-2-2b,ca,plural,cotxes,3,0.0,1
google/gemma-2-2b,ca,plural,arbres,2,0.0,1
google/gemma-2-2b,ca,plural,colors,1,0.0,1
google/gemma-2-2b,ca,plural,flors,2,0.0,1
google/gemma-2-2b,ca,plural,ocells,2,0.0,1
google/gemma-2-2b,ca,plural,carrers,3,0.0,1
google/gemma-2-2b,ca,plural,ponts,2,0.0,1
google/gemma-2-2b,ca,plural,peixos,2,0.0,1
google/gemma-2-2b,ca,plural,calaixos,2,0.0,1
google/gemma-2-2b,ca,plural,despatxos,3,0.0,1
google/gemma-2-2b,ca,plural,textos,2,0.0,1
google/gemma-2-2b,ca,plural,gasos,2,1.0,1
google/gemma-2-2b,ca,plural,cels,1,0.0,1
google/gemma-2-2b,ca,plural,trens,2,0.0,1
google/gemma-2-2b,ca,plural,llums,2,0.0,1
google/gemma-2-2b,ca,plural,jardins,1,0.0,1
google/gemma-2-2b,ca,plural,rius,1,0.0,1
google/gemma-2-2b,ca,plural,peus,2,0.0,1
google/gemma-2-2b,ca,plural,museus,2,0.0,1
google/gemma-2-2b,ca,plural,taxis,1,0.0,1
google/gemma-2-2b,ca,plural,dits,1,0.0,1
google/gemma-2-2b,ca,plural,plats,1,0.0,1
google/gemma-2-2b,ca,plural,moments,1,0.0,1
google/gemma-2-2b,ca,plural,papers,1,0.0,1
google/gemma-2-2b,ca,plural,pisos,2,1.0,1
google/gemma-2-2b,ca,plural,braços,2,0.0,1
google/gemma-2-2b,ca,plural,discos,2,0.0,1
google/gemma-2-2b,ca,plural,boscos,2,0.0,1
google/gemma-2-2b,ca,verb_em,cantem,2,0.0,1
google/gemma-2-2b,ca,verb_em,parlem,2,0.0,1
google/gemma-2-2b,ca,verb_em,treballem,3,0.0,1
google/gemma-2-2b,ca,verb_em,mirem,2,0.0,1
google/gemma-2-2b,ca,verb_em,estudiem,2,1.0,1
google/gemma-2-2b,ca,verb_em,comprem,2,0.0,1
google/gemma-2-2b,ca,verb_em,ballem,2,0.0,1
google/gemma-2-2b,ca,verb_em,nedem,2,0.0,1
google/gemma-2-2b,ca,verb_em,caminem,2,1.0,1
google/gemma-2-2b,ca,verb_em,escoltem,3,0.0,1
google/gemma-2-2b,ca,verb_em,cuinem,2,0.0,1
google/gemma-2-2b,ca,verb_em,dibuixem,3,1.0,1
google/gemma-2-2b,ca,verb_em,saltem,2,0.0,1
google/gemma-2-2b,ca,verb_em,entrem,2,0.0,1
google/gemma-2-2b,ca,verb_em,portem,2,0.0,1
google/gemma-2-2b,ca,verb_em,trobem,2,0.0,1
google/gemma-2-2b,ca,verb_em,ajudem,2,0.0,1
google/gemma-2-2b,ca,verb_em,preguntem,3,0.0,1
google/gemma-2-2b,ca,verb_em,contestem,3,0.0,1
google/gemma-2-2b,ca,verb_em,visitem,2,0.0,1
google/gemma-2-2b,ca,verb_em,dinem,2,1.0,1
google/gemma-2-2b,ca,verb_em,sopem,2,0.0,1
google/gemma-2-2b,ca,verb_em,arribem,2,0.0,1
google/gemma-2-2b,ca,verb_em,guanyem,3,1.0,1
google/gemma-2-2b,ca,verb_em,pensem,2,0.0,1
google/gemma-2-2b,ca,gender_a,gata,1,0.0,1
google/gemma-2-2b,ca,gender_a,noia,2,0.0,1
google/gemma-2-2b,ca,gender_a,nena,2,1.0,1
google/gemma-2-2b,ca,gender_a,filla,2,0.0,1
google/gemma-2-2b,ca,gender_a,professora,2,0.0,1
google/gemma-2-2b,ca,gender_a,senyora,3,0.0,1
google/gemma-2-2b,ca,gender_a,doctora,2,1.0,1
google/gemma-2-2b,ca,gender_a,alumna,2,0.0,1
google/gemma-2-2b,ca,gender_a,cosina,2,0.0,1
google/gemma-2-2b,ca,gender_a,tieta,2,0.0,1
google/gemma-2-2b,ca,gender_a,mestra,2,0.0,1
google/gemma-2-2b,ca,gender_a,sogra,2,0.0,1
google/gemma-2-2b,ca,gender_a,pintora,2,0.0,1
google/gemma-2-2b,ca,gender_a,escriptora,3,0.0,1
google/gemma-2-2b,ca,gender_a,directora,2,1.0,1
google/gemma-2-2b,ca,gender_a,treballadora,3,0.0,1
google/gemma-2-2b,ca,gender_a,jugadora,2,0.0,1
google/gemma-2-2b,ca,gender_a,monitora,2,1.0,1
google/gemma-2-2b,ca,gender_a,germana,2,0.0,1
google/gemma-2-2b,ca,gender_a,companya,2,0.0,1
google/gemma-2-2b,ca,gender_a,reina,2,0.0,1
google/gemma-2-2b,ca,gender_a,xicota,2,0.0,1
google/gemma-2-2b,ca,gender_a,candidata,2,0.0,1
google/gemma-2-2b,ca,gender_a,conilla,2,0.0,1
google/gemma-2-2b,ca,gender_a,enginyera,3,0.0,1
google/gemma-2-2b,en,ly,quickly,1,0.0,1
google/gemma-2-2b,en,ly,slowly,1,0.0,1
google/gemma-2-2b,en,ly,clearly,1,0.0,1
google/gemma-2-2b,en,ly,easily,1,0.0,1
google/gemma-2-2b,en,ly,happily,1,0.0,1
google/gemma-2-2b,en,ly,rapidly,2,1.0,1
google/gemma-2-2b,en,ly,softly,2,1.0,1
google/gemma-2-2b,en,ly,strongly,1,0.0,1
google/gemma-2-2b,en,ly,perfectly,1,0.0,1
google/gemma-2-2b,en,ly,absolutely,1,0.0,1
google/gemma-2-2b,en,ly,exactly,1,0.0,1
google/gemma-2-2b,en,ly,directly,1,0.0,1
google/gemma-2-2b,en,ly,seriously,1,0.0,1
google/gemma-2-2b,en,ly,nervously,2,0.0,1
google/gemma-2-2b,en,ly,generally,1,0.0,1
google/gemma-2-2b,en,ly,normally,1,0.0,1
google/gemma-2-2b,en,ly,deeply,2,1.0,1
google/gemma-2-2b,en,ly,briefly,2,1.0,1
google/gemma-2-2b,en,ly,strangely,3,0.0,1
google/gemma-2-2b,en,ly,really,1,0.0,1
google/gemma-2-2b,en,ly,carefully,2,0.0,1
google/gemma-2-2b,en,ly,quietly,2,1.0,1
google/gemma-2-2b,en,ly,brightly,2,1.0,1
google/gemma-2-2b,en,ly,calmly,2,1.0,1
google/gemma-2-2b,en,ly,finally,1,0.0,1
google/gemma-2-2b,en,ly,usually,1,0.0,1
google/gemma-2-2b,en,ly,actually,1,0.0,1
google/gemma-2-2b,en,ly,completely,1,0.0,1
