model,layer,family,condition,n_pairs,direction_consistency,pc1_var_ratio,analogy_acc,direction_consistency_ci_lo,direction_consistency_ci_hi,analogy_acc_ci_lo,analogy_acc_ci_hi
google/gemma-2-2b,15,dim_et,delta,30,0.08160404010507183,0.06863720071458308,-0.06666666666666665,,,,
google/gemma-2-2b,15,gem_lla,native,12,0.5007012838746709,0.1988793298764395,1.0,,,,
google/gemma-2-2b,15,gem_lla,morphemic,12,0.6322613750576739,0.27954515045645384,1.0,,,,
google/gemma-2-2b,15,gem_lla,delta,12,0.13156009118300294,0.08066582058001434,0.0,,,,
google/gemma-2-2b,15,gender_a,native,25,0.41106731148117703,0.15556285016598054,1.0,,,,
google/gemma-2-2b,15,gender_a,morphemic,25,0.6020264755141901,0.18305525777869144,0.96,,,,
google/gemma-2-2b,15,gender_a,delta,25,0.19095916403301305,0.027492407612710906,-0.040000000000000036,,,,
google/gemma-2-2b,15,ly,native,40,0.6805839639950428,0.1739711315217802,0.975,,,,
google/gemma-2-2b,15,ly,morphemic,40,0.7266249070482612,0.15506187282402298,1.0,,,,
google/gemma-2-2b,15,ly,delta,40,0.046040943053218375,-0.018909258697757225,0.025000000000000022,,,,
google/gemma-2-2b,15,ment,native,40,0.592869356905517,0.14642687255754094,0.9,,,,
google/gemma-2-2b,15,ment,morphemic,40,0.6162854677635939,0.14391808247765586,0.925,,,,
google/gemma-2-2b,15,ment,delta,40,0.023416110858076933,-0.0025087900798850815,0.025000000000000022,,,,
google/gemma-2-2b,15,nom_cio,native,24,0.6983464503585285,0.16308470688496982,1.0,,,,
google/gemma-2-2b,15,nom_cio,morphemic,24,0.7113553704397094,0.17018236843069523,1.0,,,,
google/gemma-2-2b,15,nom_cio,delta,24,0.01300892008118093,0.007097661545725414,0.0,,,,
google/gemma-2-2b,15,nom_tion,native,25,0.6619673292478905,0.15401307073789464,1.0,,,,
google/gemma-2-2b,15,nom_tion,morphemic,25,0.6682794840942076,0.14748224330703552,0.96,,,,
google/gemma-2-2b,15,nom_tion,delta,25,0.006312154846317086,-0.006530827430859115,-0.040000000000000036,,,,
google/gemma-2-2b,15,ny,native,12,0.46666076698523945,0.2820192632778744,0.9166666666666666,,,,
google/gemma-2-2b,15,ny,morphemic,12,0.558031247874354,0.2980383906715333,1.0,,,,
google/gemma-2-2b,15,ny,delta,12,0.09137048088911454,0.016019127393658905,0.08333333333333337,,,,
google/gemma-2-2b,15,plural,native,30,0.41832991533321057,0.1835444657076944,0.9333333333333333,,,,
google/gemma-2-2b,15,plural,morphemic,30,0.6667137409342601,0.1284245317209649,1.0,,,,
google/gemma-2-2b,15,plural,delta,30,0.2483838256010495,-0.055119933986729486,0.06666666666666665,,,,
google/gemma-2-2b,15,plural_s,native,30,0.7033470593981915,0.16051933597636703,1.0,,,,
google/gemma-2-2b,15,plural_s,morphemic,30,0.7803548039944691,0.1452683982729507,1.0,,,,
google/gemma-2-2b,15,plural_s,delta,30,0.07700774459627757,-0.015250937703416317,0.0,,,,
google/gemma-2-2b,15,verb_em,native,25,0.5929143342815064,0.12441984360990889,0.92,,,,
google/gemma-2-2b,15,verb_em,morphemic,25,0.6808416503799907,0.1541231375350081,1.0,,,,
google/gemma-2-2b,15,verb_em,delta,25,0.08792731609848425,0.029703293925099197,0.07999999999999996,,,,
google/gemma-2-2b,22,agent_dor,native,25,0.5518756335164176,0.15132454239569076,0.92,,,,
google/gemma-2-2b,22,agent_dor,morphemic,25,0.5782065854508766,0.18478750926347637,0.96,,,,
