family,derived,n_pred_cuts,n_gold_cuts,precision,recall
verb_em,ballem,0,1,0.0,0.0
verb_em,nedem,1,1,1.0,1.0
verb_em,caminem,2,1,0.5,1.0
verb_em,escoltem,1,1,1.0,1.0
verb_em,cuinem,1,1,1.0,1.0
verb_em,dibuixem,1,1,1.0,1.0
verb_em,saltem,1,1,1.0,1.0
verb_em,entrem,1,1,1.0,1.0
verb_em,portem,1,1,1.0,1.0
verb_em,trobem,1,1,1.0,1.0
verb_em,ajudem,1,1,1.0,1.0
verb_em,preguntem,1,1,1.0,1.0
verb_em,contestem,1,1,1.0,1.0
verb_em,visitem,1,1,1.0,1.0
verb_em,dinem,1,1,1.0,1.0
verb_em,sopem,1,1,1.0,1.0
verb_em,arribem,1,1,1.0,1.0
verb_em,guanyem,1,1,1.0,1.0
verb_em,pensem,1,1,1.0,1.0
gender_a,gata,1,1,1.0,1.0
gender_a,noia,1,1,1.0,1.0
gender_a,nena,1,1,1.0,1.0
gender_a,filla,1,1,1.0,1.0
gender_a,professora,1,1,1.0,1.0
gender_a,senyora,1,1,1.0,1.0
gender_a,doctora,1,1,1.0,1.0
gender_a,alumna,0,1,0.0,0.0
gender_a,cosina,0,1,0.0,0.0
gender_a,tieta,1,1,1.0,1.0
gender_a,mestra,1,1,0.0,0.0
gender_a,sogra,0,1,0.0,0.0
gender_a,pintora,1,1,1.0,1.0
gender_a,escriptora,1,1,1.0,1.0
gender_a,directora,2,1,0.5,1.0
gender_a,treballadora,2,1,0.5,1.0
gender_a,jugadora,2,1,0.5,1.0
gender_a,monitora,1,1,1.0,1.0
gender_a,germana,0,1,0.0,0.0
gender_a,companya,1,1,1.0,1.0
gender_a,reina,1,1,0.0,0.0
gender_a,xicota,1,1,1.0,1.0
gender_a,candidata,1,1,1.0,1.0
gender_a,conilla,1,1,1.0,1.0
gender_a,enginyera,1,1,1.0,1.0
gem_lla,col·legis,1,1,1.0,1.0
gem_lla,paral·lels,1,1,1.0,1.0
gem_lla,intel·lectuals,1,1,1.0,1.0
gem_lla,mil·lennis,1,1,1.0,1.0
gem_lla,excel·lents,1,1,1.0,1.0
gem_lla,el·lipses,1,1,1.0,1.0
gem_lla,novel·les,1,1,0.0,0.0
gem_lla,cèl·lules,0,1,0.0,0.0
gem_lla,síl·labes,0,1,0.0,0.0
gem_lla,aquarel·les,1,1,0.0,0.0
gem_lla,al·lèrgies,1,1,0.0,0.0
gem_lla,pel·lícules,0,1,0.0,0.0
cedilla,places,0,1,0.0,0.0
cedilla,caces,0,1,0.0,0.0
cedilla,forces,0,1,0.0,0.0
cedilla,peces,0,1,0.0,0.0
cedilla,llances,0,1,0.0,0.0
cedilla,esperances,0,1,0.0,0.0
cedilla,confiances,0,1,0.0,0.0
cedilla,feliços,1,1,1.0,1.0
cedilla,dolços,1,1,1.0,1.0
cedilla,audaços,1,1,1.0,1.0
cedilla,capaços,1,1,1.0,1.0
cedilla,esforços,1,1,1.0,1.0
cedilla,veloços,1,1,1.0,1.0
ny,anys,1,1,1.0,1.0
ny,punys,1,1,1.0,1.0
ny,estanys,1,1,1.0,1.0
ny,panys,1,1,1.0,1.0
ny,banys,1,1,1.0,1.0
ny,guanys,1,1,1.0,1.0
ny,muntanyes,0,1,0.0,0.0
ny,canyes,0,1,0.0,0.0
ny,vinyes,0,1,0.0,0.0
ny,llenyes,0,1,0.0,0.0
ny,companyies,1,1,0.0,0.0
ny,cabanyes,0,1,0.0,0.0
