condition,infl_mean,deriv_mean,overall_mean,diff,diff_ci_lo,diff_ci_hi,diff_p,spearman_rank_vs_consistency
native,0.4967627589592089,0.5906354703058436,0.550404308300143,-0.09387271134663472,-0.2077992335535911,0.018561254976374803,0.086,0.4947274449181536
morphemic,0.5991061636655948,0.6762190004081469,0.6431706418041959,-0.0771128367425521,-0.15859873569303848,0.01407528576914042,0.104,0.41462871574092874
morfessor,0.5734569463990171,0.6790609946144693,0.6338021168078469,-0.10560404821545222,-0.1879956707162153,-0.014926197996819414,0.028,0.5229975846277624
