level,native_consistency,ci_lo,ci_hi,n
verb_reg,0.5537068078284226,0.4950155959310477,0.6094781791713535,5
verb_alt,0.4977854360970789,0.46149998315471086,0.5319121616406257,5
verb_supl,0.5173279763791465,0.45358417419051494,0.5861129797751969,5
