analysis,prefix_mean_delta,suffix_mean_delta,diff,ci_lo,ci_hi,p,n_prefix,n_suffix,depth0_mean,depth1_mean,diff_d0_minus_d1
prefix_vs_suffix,0.19750618098382147,0.035897040535744315,0.16160914044807717,0.10720156471076582,0.2117402851965679,0.001,15.0,20.0,,,
depth_effect,,,,-0.21453766669858956,-0.06394180504518067,0.001,,,0.6941369770091389,0.8314776012904893,-0.1373406242813504
